CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,ARRAY(0x1a293e8),Room Cap
44163,5612,0530U,1,GSBS-S Term ... `01-SEP to 20-DEC,Evening,MOLECULAR CARCINOGENESISLocation: FA  225Please download and complete the Rutgers-Camden/Rowan GSBSExchange Registration form for enrollment and submit to theGSBS Office for processinghttp://www.rowan.edu/som/gsbs/current/forms.phpProfessor Klein:  eric.a.klein@rutgers.edu`,STAFF,R       1800 2040 FA  (Class),Stratford,,3,0,0,0,0,0,
42789,ACC,3200,1,Full Term ... `01-SEP to 20-DEC,Day,ACCOUNTING MENTORSHIP,Weidman  Stephanie M.,   ,Main,,0,100,0,0,90,10,
42790,ACC,3210,1,Full Term ... `01-SEP to 20-DEC,Evening,PRINCIPLES OF ACCTG I,Fortini  Jr.  Joseph A,MW      1700 1815 BUNCE 109 (Class)`W       1700 1900 BUNCE 109 (Exam),Main,,3,30,0,0,30,0,30
42791,ACC,3210,2,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I This section for Accounting and Finance majors only`,Fabrico-Basile  Tracey,TR      1230 1345 BOZ 130 (Class)`T       1230 1430 ROWAN 117 (Exam),Main,,3,30,0,0,34,-4,38
42792,ACC,3210,3,Full Term ... `01-SEP to 20-DEC,Evening,PRINCIPLES OF ACCTG I,Van Hook  Andrew P.,R       1830 1945 BOZ 130 (Class)`R       1900 2100 BOZ 130 (Exam)`R       2000 2115 BOZ 130 (Class),Main,,3,30,0,0,33,-3,38
42793,ACC,3210,4,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,Makalintal  Maria Aurora O,MW      0800 0915 BOZ 130 (Class)`W       0800 1000 BOZ 130 (Exam),Main,,3,30,0,0,34,-4,38
42794,ACC,3210,5,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,Hughes  Diane,MW      0930 1045 BOZ 130 (Class)`W       1015 1215 BOZ 130 (Exam),Main,,3,30,0,0,34,-4,38
42795,ACC,3210,6,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,McGrath  William Patrick,TR      1530 1645 BOZ 130 (Class)`T       1445 1645 BOZ 130 (Exam),Main,,3,30,0,0,33,-3,38
42796,ACC,3210,7,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I This section for Accounting and Finance majors only`,Weidman  Stephanie M.,MW      1530 1645 BUNCE 105 (Class)`M       1445 1645 BUNCE 105 (Exam),Main,,3,30,0,0,30,0,30
42797,ACC,3210,8,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,Camma  Mark F.,F       0800 0915 BUNCE 105 (Class)`F       0800 1000 BUNCE 105 (Exam)`F       0930 1045 BUNCE 105 (Class),Main,,3,30,0,0,28,2,30
42798,ACC,3210,9,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,Uberti  Robert Fredrick,TR      0800 0915 BUNCE 109 (Class)`R       0800 1000 BUNCE 109 (Exam),Main,,3,30,0,0,29,1,30
42799,ACC,3210,10,Full Term ... `01-SEP to 20-DEC,Evening,PRINCIPLES OF ACCTG I,Van Hook  Andrew P.,TR      1700 1815 BUNCE 109 (Class)`R       1700 1900 BUNCE 109 (Exam),Main,,3,30,0,0,30,0,30
42800,ACC,3210,11,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,Fabrico-Basile  Tracey,TR      1100 1215 BOZ 130 (Class)`T       1230 1430 ROWAN 117 (Exam),Main,,3,30,0,0,33,-3,38
42801,ACC,3210,12,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,Camma  Mark F.,MW      0800 0915 BUNCE 109 (Class)`W       0800 1000 BUNCE 109 (Exam),Main,,3,30,0,0,30,0,30
42802,ACC,3211,1,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG II,Sagedy  Robert Andrew,TR      1100 1215 BUNCE 109 (Class)`T       1015 1215 BUNCE 109 (Exam),Main,,3,30,0,0,30,0,30
42803,ACC,3211,2,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG II,Sagedy  Robert Andrew,TR      0930 1045 BUNCE 109 (Class)`R       1015 1215 BUNCE 109 (Exam),Main,,3,30,0,0,30,0,30
42786,ACC,3211,3,Full Term ... `01-SEP to 20-DEC,Online,PRINCIPLES OF ACCTG II ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Marmon  Richard,   ,Online,,3,30,0,0,32,-2,
42804,ACC,3211,4,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG II,Hughes  Diane,WF      1100 1215 BOZ 130 (Class)`F       1230 1430 BOZ 130 (Exam),Main,,3,30,0,0,29,1,38
42805,ACC,3211,5,Full Term ... `01-SEP to 20-DEC,Evening,PRINCIPLES OF ACCTG II,Pantalone  Salvatore Louis,W       1830 1945 BOZ 130 (Class)`W       1900 2100 BOZ 130 (Exam)`W       2000 2115 BOZ 130 (Class),Main,,3,30,0,0,33,-3,38
42806,ACC,3300,1,Full Term ... `01-SEP to 20-DEC,Evening,SUPERVISED INTERNSHIP ACCT Primarily hybrid Please contact Ms. Cindy Sykes (sykes@rowan.edu) for application and approval forms.`,Meric  Gulser,T       1700 1815 BUNCE 105 (Class)`T       1700 1900 BUNCE 105 (Exam),Main,,3,15,0,0,5,10,30
42813,ACC,3310,1,Full Term ... `01-SEP to 20-DEC,Evening,INTERMEDIATE ACCTG I,Sacchetta  Robert J.,MW      1700 1815 BUNCE 105 (Class)`W       1700 1900 BUNCE 105 (Exam),Main,,3,30,0,0,29,1,30
42814,ACC,3310,2,Full Term ... `01-SEP to 20-DEC,Day,INTERMEDIATE ACCTG I,Zhang  Mei,TR      1100 1215 BUNCE 105 (Class)`T       1015 1215 BUNCE 105 (Exam),Main,,3,30,0,0,30,0,30
42815,ACC,3310,3,Full Term ... `01-SEP to 20-DEC,Day,INTERMEDIATE ACCTG I,Sacchetta  Robert J.,MW      1230 1345 BOZ 130 (Class)`W       1230 1430 BOZ 130 (Exam),Main,,3,30,0,0,30,0,38
42816,ACC,3310,4,Full Term ... `01-SEP to 20-DEC,Day,INTERMEDIATE ACCTG I,Sacchetta  Robert J.,MW      1400 1515 BOZ 130 (Class)`W       1445 1645 BOZ 130 (Exam),Main,,3,30,0,0,32,-2,38
42817,ACC,3310,5,Full Term ... `01-SEP to 20-DEC,Evening,INTERMEDIATE ACCTG I,STAFF,,Main,,3,0,0,0,0,0,
42818,ACC,3310,6,Full Term ... `01-SEP to 20-DEC,Evening,INTERMEDIATE ACCTG I,Van Hook  Andrew P.,M       1830 1945 BUNCE 109 (Class)`M       1900 2100 BUNCE 109 (Exam)`M       2000 2115 BUNCE 109 (Class),Main,,3,30,0,0,30,0,30
42819,ACC,3310,7,Full Term ... `01-SEP to 20-DEC,Day,INTERMEDIATE ACCTG I,Zhang  Mei,TR      1400 1515 BUNCE 109 (Class)`R       1445 1645 BUNCE 109 (Exam),Main,,3,30,0,0,30,0,30
42820,ACC,3311,1,Full Term ... `01-SEP to 20-DEC,Evening,INTERMEDIATE ACCTG II,Sagedy  Robert Andrew,TR      1700 1815 BOZ 130 (Class)`R       1700 1900 BOZ 130 (Exam),Main,,3,30,0,0,30,0,38
42821,ACC,3320,1,Full Term ... `01-SEP to 20-DEC,Day,ACCTG INFO SYSTEMS Contains 5 weeks SAP content`,Chung  Shifei,TR      1100 1215 BUNCE 252 (Class)`T       1015 1215 BUNCE 252 (Exam),Main,,3,27,0,0,27,0,30
42822,ACC,3320,2,Full Term ... `01-SEP to 20-DEC,Day,ACCTG INFO SYSTEMS Contains 5 weeks SAP content`,Chung  Shifei,TR      1230 1345 BUNCE 252 (Class)`R       1230 1430 BUNCE 252 (Exam),Main,,3,27,0,0,27,0,30
42823,ACC,3320,3,Full Term ... `01-SEP to 20-DEC,Day,ACCTG INFO SYSTEMS Contains 5 weeks SAP content`,Chung  Shifei,TR      1530 1645 BUNCE 252 (Class)`T       1445 1645 BUNCE 252 (Exam),Main,,3,27,0,0,27,0,30
42824,ACC,3326,1,Full Term ... `01-SEP to 20-DEC,Day,COST ACCOUNTING,Scarpa  Robert F,MW      0800 0915 BUNCE 105 (Class)`W       0800 1000 BUNCE 105 (Exam),Main,,3,30,0,0,30,0,30
42825,ACC,3326,2,Full Term ... `01-SEP to 20-DEC,Day,COST ACCOUNTING,Scarpa  Robert F,MW      0930 1045 BUNCE 105 (Class)`W       1015 1215 BUNCE 105 (Exam),Main,,3,30,0,0,30,0,30
42826,ACC,3326,3,Full Term ... `01-SEP to 20-DEC,Evening,COST ACCOUNTING,Glaum  Christopher J,T       1830 1945 BOZ 130 (Class)`T       1900 2100 BOZ 130 (Exam)`T       2000 2115 BOZ 130 (Class),Main,,3,30,0,0,35,-5,38
42827,ACC,3326,4,Full Term ... `01-SEP to 20-DEC,Day,COST ACCOUNTING,Scarpa  Robert F,MW      1230 1345 BUNCE 105 (Class)`W       1230 1430 BUNCE 105 (Exam),Main,,3,30,0,0,30,0,30
