CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,ARRAY(0x30e5dc0),Room Cap
21007,ACC,03210,  1,Full Term ... `17-JAN to 08-MAY,Evening,PRINCIPLES OF ACCTG I,STAFF,R       1830 1945 BUSN 103 (Class)`R       2000 2115 BUSN 103 (Class),Main,,3,35,0,0,0,35,40
21008,ACC,03210,  2,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG I,Uberti  Robert Fredrick,MW      0800 0915 BUSN 121 (Class),Main,,3,35,0,0,0,35,40
21009,ACC,03210,  3,Full Term ... `17-JAN to 08-MAY,Evening,PRINCIPLES OF ACCTG I,STAFF,MW      1700 1815 BUSN 131 (Class),Main,,3,0,0,0,0,0,40
21010,ACC,03210,  4,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG I,Sacchetta  Robert J.,MW      1400 1515 BUSN 107 (Class),Main,,3,35,0,0,0,35,40
21011,ACC,03210,  5,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG I,Weidman  Stephanie M.,MW      0930 1045 BUSN 121 (Class),Main,,3,35,0,0,0,35,40
21012,ACC,03210,  6,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG I,Sacchetta  Robert J.,MW      1530 1645 BUSN 233 (Class),Main,,3,35,0,0,0,35,40
21013,ACC,03211,  1,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG II,Zhang  Mei,TR      1100 1215 BUSN 101 (Class),Main,,3,35,0,0,0,35,40
21014,ACC,03211,  2,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG II,Zhang  Mei,TR      1230 1345 BUSN 101 (Class),Main,,3,35,0,0,0,35,40
21015,ACC,03211,  3,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG II,STAFF,TR      0800 0915 BUSN 121 (Class),Main,,3,35,0,0,0,35,40
21016,ACC,03211,  4,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG II For Accounting & Finance Majors only`,Scarpa  Robert F,TR      0930 1045 BUSN 121 (Class),Main,,3,35,0,0,0,35,40
21017,ACC,03211,  5,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG II For Accounting & Finance Majors only`,Scarpa  Robert F,TR      1230 1345 BUSN 131 (Class),Main,,3,35,0,0,0,35,40
21018,ACC,03211,  6,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG II,Hughes  Diane,MW      0930 1045 BUSN 131 (Class),Main,,3,35,0,0,0,35,40
21019,ACC,03211,  7,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG II,STAFF,F       0800 0915 BUSN 131 (Class)`F       0930 1045 BUSN 131 (Class),Main,,3,35,0,0,0,35,40
21020,ACC,03211,  8,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG II,STAFF,TR      1400 1515 BUSN 101 (Class),Main,,3,35,0,0,0,35,40
21021,ACC,03211,  9,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG II,STAFF,TR      1530 1645 BUSN 101 (Class),Main,,3,35,0,0,0,35,40
21022,ACC,03211, 10,Full Term ... `17-JAN to 08-MAY,Evening,PRINCIPLES OF ACCTG II,STAFF,T       1830 1945 BUSN 101 (Class)`T       2000 2115 BUSN 101 (Class),Main,,3,35,0,0,0,35,40
21023,ACC,03211, 11,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF ACCTG II,Hughes  Diane,MW      0800 0915 BUSN 131 (Class),Main,,3,35,0,0,0,35,40
21024,ACC,03211, 12,Full Term ... `17-JAN to 08-MAY,Evening,PRINCIPLES OF ACCTG II,STAFF,MW      1700 1815 BUSN 121 (Class),Main,,3,35,0,0,0,35,40
21025,ACC,03300,  1,Full Term ... `17-JAN to 08-MAY,Evening,SUPERVISED INTERNSHIP ACCT Primarily Hybrid`,Fabrico-Basile  Tracey,M       1700 1815 BUSN 101 (Class),Main,,3,20,0,0,0,20,40
21026,ACC,03310,  1,Full Term ... `17-JAN to 08-MAY,Day,INTERMEDIATE ACCTG I,Uberti  Robert Fredrick,MW      0930 1045 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21027,ACC,03310,  2,Full Term ... `17-JAN to 08-MAY,Day,INTERMEDIATE ACCTG I,Uberti  Robert Fredrick,MW      1230 1345 BUSN 101 (Class),Main,,3,32,0,0,0,32,40
21028,ACC,03310,  3,Full Term ... `17-JAN to 08-MAY,Day,INTERMEDIATE ACCTG I,STAFF,F       0930 1045 BUSN 103 (Class)`F       1100 1215 BUSN 103 (Class),Main,,3,0,0,0,0,0,40
21029,ACC,03311,  1,Full Term ... `17-JAN to 08-MAY,Day,INTERMEDIATE ACCTG II,Romeo  George,MW      0800 0915 BUSN 101 (Class),Main,,3,32,0,0,0,32,40
21030,ACC,03311,  2,Full Term ... `17-JAN to 08-MAY,Day,INTERMEDIATE ACCTG II,Romeo  George,MW      0930 1045 BUSN 101 (Class),Main,,3,32,0,0,0,32,40
21031,ACC,03311,  3,Full Term ... `17-JAN to 08-MAY,Day,INTERMEDIATE ACCTG II,Romeo  George,MW      1400 1515 BUSN 101 (Class),Main,,3,32,0,0,0,32,40
21032,ACC,03311,  4,Full Term ... `17-JAN to 08-MAY,Evening,INTERMEDIATE ACCTG II,Sacchetta  Robert J.,M       1830 1945 BUSN 233 (Class)`M       2000 2115 BUSN 233 (Class),Main,,3,32,0,0,0,32,40
21033,ACC,03311,  5,Fourth Session ... `07-MAR to 08-MAY,Day,INTERMEDIATE ACCTG II Fourth Session (03/07 - 05/08)`,STAFF,TR      1530 1645 BUSN 121 (Class)`TR      1700 1815 BUSN 121 (Class),Main,,3,20,0,0,0,20,40
21034,ACC,03320,  1,Full Term ... `17-JAN to 08-MAY,Day,ACCTG INFO SYSTEMS Primarily Hybrid Contains 5 weeks SAP content.`,Chung  Shifei,WF      1100 1215 BUSN 233 (Class),Main,,3,24,0,0,0,24,40
21044,ACC,03320,  2,Fourth Session ... `07-MAR to 08-MAY,Day,ACCTG INFO SYSTEMS Fourth Session (03/07 - 05/08) Primarily Hybrid Contains 5 weeks SAP content.`,Chung  Shifei,MW      1530 1645 BUSN 107 (Class),Main,,3,20,0,0,0,20,40
21045,ACC,03320,  3,Full Term ... `17-JAN to 08-MAY,Day,ACCTG INFO SYSTEMS Primarily Hybrid Contains 5 weeks SAP content.`,Chung  Shifei,MW      1230 1345 BUSN 107 (Class),Main,,3,24,0,0,0,24,40
21037,ACC,03326,  1,Full Term ... `17-JAN to 08-MAY,Evening,COST ACCOUNTING,STAFF,TR      1700 1815 BUSN 131 (Class),Main,,3,32,0,0,0,32,40
21038,ACC,03326,  2,Full Term ... `17-JAN to 08-MAY,Evening,COST ACCOUNTING,Glaum  Christopher J,R       1830 1945 BUSN 101 (Class)`R       2000 2115 BUSN 101 (Class),Main,,3,32,0,0,0,32,40
