Subj,Crse,Sect,(Type) 0,Day 0,Times 0, Building and Room 0,(Type) 1,Day 1,Times 1, Building and Room 1,(Type) 2,Day 2,Times 2, Building and Room 2,(Type) 3,Day 3,Times 3, Building and Room 3,(Type) 4,Day 4,Times 4, Building and Room 4,(Type) 5,Day 5,Times 5, Building and Room 5,(Type) 6,Day 6,Times 6, Building and Room 6,(Type) 7,Day 7,Times 7, Building and Room 7,(Type) 8,Day 8,Times 8, Building and Room 8,(Type) 9,Day 9,Times 9, Building and Room 9,(Type) 10,Day 10,Times 10, Building and Room 10,Session,CRN,Title,Prof,Campus,Hrs
5612,0530U,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,44163,MOLECULAR CARCINOGENESISLocation: FA  225Please download and complete the Rutgers-Camden/Rowan GSBSExchange Registration form for enrollment and submit to theGSBS Office for processinghttp://www.rowan.edu/som/gsbs/current/forms.phpProfessor Klein:  eric.a.klein@rutgers.edu`,STAFF,Stratford,3
ACC,03200,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42789,ACCOUNTING MENTORSHIP,Weidman Stephanie M.,Main,0
ACC,03210,  1,(Class),M,1700 to 1815,BUNCE 109,(Class),W,1700 to 1815,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42790,PRINCIPLES OF ACCTG I,STAFF,Main,3
ACC,03210,  2,(Class),T,1230 to 1345,BOZ 130,(Class),R,1230 to 1345,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42791,PRINCIPLES OF ACCTG I This section for Accounting and Finance majors only`,Fabrico-Basile Tracey,Main,3
ACC,03210,  3,(Class),R,1830 to 1945,BUNCE 105,(Class),R,2000 to 2115,BUNCE 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42792,PRINCIPLES OF ACCTG I,STAFF,Main,3
ACC,03210,  4,(Class),M,0800 to 0915,BOZ 130,(Class),W,0800 to 0915,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42793,PRINCIPLES OF ACCTG I,STAFF,Main,3
ACC,03210,  5,(Class),M,0930 to 1045,BOZ 130,(Class),W,0930 to 1045,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42794,PRINCIPLES OF ACCTG I,Hughes Diane,Main,3
ACC,03210,  6,(Class),T,1530 to 1645,BOZ 130,(Class),R,1530 to 1645,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42795,PRINCIPLES OF ACCTG I,McGrath William Patrick,Main,3
ACC,03210,  7,(Class),M,1530 to 1645,BUNCE 105,(Class),W,1530 to 1645,BUNCE 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42796,PRINCIPLES OF ACCTG I This section for Accounting and Finance majors only`,Weidman Stephanie M.,Main,3
ACC,03210,  8,(Class),F,0800 to 0915,BUNCE 105,(Class),F,0930 to 1045,BUNCE 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42797,PRINCIPLES OF ACCTG I,Camma Mark F.,Main,3
