CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,ARRAY(0x1bc0048),Room Cap
44163,5612,0530U,  1,GSBS-S Term ... `01-SEP to 20-DEC,Evening,MOLECULAR CARCINOGENESISLocation: FA  225Please download and complete the Rutgers-Camden/Rowan GSBSExchange Registration form for enrollment and submit to theGSBS Office for processinghttp://www.rowan.edu/som/gsbs/current/forms.phpProfessor Klein:  eric.a.klein@rutgers.edu`,STAFF,R       1800 2040 FA  (Class),Stratford,,3,0,0,0,1,-1,
42789,ACC,03200,  1,Full Term ... `01-SEP to 20-DEC,Day,ACCOUNTING MENTORSHIP,Weidman Stephanie M.,   ,Main,,0,100,0,0,43,57,
42790,ACC,03210,  1,Full Term ... `01-SEP to 20-DEC,Evening,PRINCIPLES OF ACCTG I,STAFF,MW      1700 1815 BUNCE 109 (Class),Main,,3,30,0,0,30,0,30
42791,ACC,03210,  2,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I This section for Accounting and Finance majors only`,Fabrico-Basile Tracey,TR      1230 1345 BOZ 130 (Class),Main,,3,30,0,0,31,-1,38
42792,ACC,03210,  3,Full Term ... `01-SEP to 20-DEC,Evening,PRINCIPLES OF ACCTG I,STAFF,R       1830 1945 BUNCE 105 (Class)`R       2000 2115 BUNCE 105 (Class),Main,,3,30,0,0,30,0,30
42793,ACC,03210,  4,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,STAFF,MW      0800 0915 BOZ 130 (Class),Main,,3,30,0,0,31,-1,38
42794,ACC,03210,  5,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,Hughes Diane,MW      0930 1045 BOZ 130 (Class),Main,,3,30,0,0,33,-3,38
42795,ACC,03210,  6,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,McGrath William Patrick,TR      1530 1645 BOZ 130 (Class),Main,,3,30,0,0,32,-2,38
42796,ACC,03210,  7,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I This section for Accounting and Finance majors only`,Weidman Stephanie M.,MW      1530 1645 BUNCE 105 (Class),Main,,3,30,0,0,30,0,30
42797,ACC,03210,  8,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,Camma Mark F.,F       0800 0915 BUNCE 105 (Class)`F       0930 1045 BUNCE 105 (Class),Main,,3,30,0,0,30,0,30
42798,ACC,03210,  9,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,Uberti Robert Fredrick,TR      0800 0915 BUNCE 109 (Class),Main,,3,30,0,0,30,0,30
42799,ACC,03210, 10,Full Term ... `01-SEP to 20-DEC,Evening,PRINCIPLES OF ACCTG I,STAFF,TR      1700 1815 BOZ 130 (Class),Main,,3,30,0,0,31,-1,38
42800,ACC,03210, 11,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,Fabrico-Basile Tracey,TR      1100 1215 BOZ 130 (Class),Main,,3,30,0,0,33,-3,38
42801,ACC,03210, 12,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG I,Camma Mark F.,MW      0800 0915 BUNCE 109 (Class),Main,,3,30,0,0,30,0,30
42802,ACC,03211,  1,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG II,STAFF,TR      1100 1215 BUNCE 109 (Class),Main,,3,30,0,0,30,0,30
42803,ACC,03211,  2,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG II,STAFF,TR      0930 1045 BUNCE 109 (Class),Main,,3,30,0,0,29,1,30
42786,ACC,03211,  3,Full Term ... `01-SEP to 20-DEC,Online,PRINCIPLES OF ACCTG II ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Marmon Richard,   ,Online,,3,30,0,0,30,0,
42804,ACC,03211,  4,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ACCTG II,Hughes Diane,WF      1100 1215 BOZ 130 (Class),Main,,3,30,0,0,30,0,38
42805,ACC,03211,  5,Full Term ... `01-SEP to 20-DEC,Evening,PRINCIPLES OF ACCTG II,STAFF,W       1830 1945 BOZ 130 (Class)`W       2000 2115 BOZ 130 (Class),Main,,3,30,0,0,30,0,38
